row_id,id,tip_ponude,tip_nekretnine,broj_soba,spratnost,sprat,povrsina_placa,grejanje,grad,lokacija,mikrolokacija,kvadratura,parking,uknjizenost,terasa,lift,tip_objekta,cena,x_pos,y_pos,udaljenost_od_centra,tip_objekta_klasa
508,69511,Prodaja,Stan,4,6,3,0,CG,Beograd,Opština Palilula,Tašmajdan,92,,DA,DA,DA,,199000,44.811861,20.47252,0.023172576917555112,3.0
509,69512,Prodaja,Stan,3,4,3,0,CG,Beograd,Opština Vračar,Crveni krst,70,,DA,DA,DA,Novogradnja,150000,44.798393,20.488673,0.044064788414335206,1.0
510,69513,Prodaja,Stan,3,4,1,0,CG,Beograd,Opština Zvezdara,Mirijevo,55,DA,DA,DA,,Novogradnja,78500,44.793896,20.539156,0.09154353910571739,1.0
511,69514,Prodaja,Stan,1,0,0,0,Norveški radijatori,Beograd,Opština Voždovac,Trošarina,31,,,,,Novogradnja,47955,44.762184,20.481588,0.06800384106799012,1.0
512,69515,Prodaja,Stan,4,3,2,0,CG,Beograd,Opština Savski venac,Dedinje,153,,DA,DA,,Stara gradnja,410000,44.772932,20.458485,0.05110795485049761,2.0
513,69516,Prodaja,Stan,4,6,4,0,CG,Beograd,Opština Vračar,Čubura,127,,DA,DA,DA,Novogradnja,350000,44.796899,20.475927,0.035530867284656396,1.0
514,69517,Prodaja,Stan,2,4,1,0,TA,Beograd,Opština Palilula,Kotež,56,,,,,Stara gradnja,53000,44.852008,20.472775,0.03476166694794251,2.0
515,69518,Prodaja,Stan,2,2,1,0,EG,Beograd,Opština Palilula,Karaburma,49,DA,DA,DA,,Novogradnja,69000,44.809403,20.514339,0.06337277278137585,1.0
516,69519,Prodaja,Stan,3,5,2,0,EG,Beograd,Opština Vračar,Crveni krst,76,,DA,DA,DA,Novogradnja,149000,44.79331,20.491336,0.04923443709437795,1.0
517,69520,Prodaja,Stan,2,4,2,0,TA,Beograd,Opština Voždovac,Vojvode Vlahovića,41,,DA,DA,,Novogradnja,65900,44.766252,20.501007,0.07512330099909209,1.0
518,69521,Prodaja,Stan,2,2,1,0,EG,Beograd,Opština Novi Beograd,Ledine,47,DA,DA,DA,,Novogradnja,67100,44.797261,20.329127,0.12627193848991286,1.0
519,69522,Prodaja,Stan,1,6,5,0,TA,Beograd,Opština Stari grad,Dorćol,22,,DA,,DA,Stara gradnja,55000,44.818559,20.469721,0.017876199875812578,2.0
520,69523,Prodaja,Stan,4,19,0,0,,Beograd,Opština Savski venac,Beograd na vodi,123,,,DA,,Novogradnja,590000,44.807929,20.450704,0.015884560333859477,1.0
521,69524,Prodaja,Stan,3,4,1,0,CG,Beograd,Opština Novi Beograd,Blok 34 (Carina - Studentski grad),64,,,,,Stara gradnja,132000,44.822607,20.405259,0.04735361580703162,2.0
522,69525,Prodaja,Stan,5,4,2,0,Norveški radijatori,Beograd,Opština Stari grad,Dorćol,150,,DA,DA,,Stara gradnja,415000,44.819965,20.461632,0.009773804223536239,2.0
523,69526,Prodaja,Stan,2,5,0,0,CG,Beograd,Opština Stari grad,Centar,41,,DA,,,,99000,44.815241,20.467144,0.016825059197520118,3.0
524,69527,Prodaja,Stan,2,3,3,0,EG,Beograd,Opština Novi Beograd,Ledine,40,DA,DA,DA,,Novogradnja,54850,44.797744,20.329494,0.1258125636492637,1.0
