,id,tip_ponude,tip_nekretnine,broj_soba,spratnost,sprat,povrsina_placa,grejanje,grad,lokacija,mikrolokacija,kvadratura,parking,uknjizenost,terasa,lift,tip_objekta,cena,x_pos,y_pos,udaljenost_od_centra,tip_objekta_klasa
3200,73547,Prodaja,Stan,3,4,2,0,EG,Beograd,Opština Savski venac,Humska,79,,,DA,DA,Novogradnja,191200,44.792129,20.461252,0.03273507514883688,1.0
3203,73553,Prodaja,Stan,4,4,3,0,CG,Beograd,Opština Palilula,Dalmatinska,90,,DA,DA,,Stara gradnja,207000,44.8094,20.4795,0.030464733709655696,2.0
3204,73559,Prodaja,Stan,4,23,11,0,CG,Beograd,Opština Savski venac,Beograd na vodi,119,DA,,DA,DA,Novogradnja,338888,44.80699,20.450695,0.016818237868460362,1.0
3205,73561,Prodaja,Stan,3,3,0,0,CG,Beograd,Opština Savski venac,Dedinje,70,,DA,DA,DA,Novogradnja,126000,44.758493,20.455312,0.06526337252241958,1.0
3206,73562,Prodaja,Stan,4,23,23,0,CG,Beograd,Opština Savski venac,Beograd na vodi,119,DA,,DA,DA,Novogradnja,372888,44.807074,20.450744,0.016729274102604545,1.0
3207,73563,Prodaja,Stan,3,4,0,0,EG,Beograd,Opština Savski venac,Humska,122,DA,,DA,DA,Novogradnja,201300,44.792053,20.461231,0.03280284698010206,1.0
3209,73565,Prodaja,Stan,4,4,2,0,EG,Beograd,Opština Savski venac,Humska,132,DA,,DA,DA,Novogradnja,319500,44.792099,20.461381,0.03279831035282319,1.0
3210,73566,Prodaja,Stan,5,2,0,0,Gas,Beograd,Opština Savski venac,Dedinje,245,DA,DA,DA,,Novogradnja,405000,44.764576,20.457905,0.0593615228999433,1.0
3211,73567,Prodaja,Stan,3,4,4,0,EG,Beograd,Opština Savski venac,Humska,90,DA,,DA,DA,Novogradnja,217800,44.792053,20.461252,0.0328083787011793,1.0
3213,73569,Prodaja,Stan,3,3,2,0,TA,Beograd,Opština Palilula,Profesorska kolonija,50,,DA,DA,,Stara gradnja,145000,44.815545,20.480419,0.028989666883220414,2.0
3214,73570,Prodaja,Stan,4,6,4,0,CG,Beograd,Opština Vračar,Kalenić pijaca,111,DA,DA,DA,DA,Novogradnja,375000,44.797779,20.475542,0.0346155110463535,1.0
3215,73571,Prodaja,Stan,3,16,1,0,CG,Beograd,Opština Savski venac,Beograd na vodi,80,DA,,DA,DA,Novogradnja,236888,44.805254,20.450094,0.018615449282791005,1.0
3216,73572,Prodaja,Stan,3,16,10,0,CG,Beograd,Opština Savski venac,Beograd na vodi,87,DA,,DA,DA,Novogradnja,285888,44.805117,20.450008,0.018762898310228718,1.0
